Codigo,Producto,Marca,UN,Cant,Caja,Costo Unit,Total
RB-302,CONTACTOR 2X30X110V,A.R. COMPONENTS,UN,1,BL1,10.36,10.36 
RB-402,CONTACTOR 2X40X110V,A.R. COMPONENTS,UN,1,BL1,11.01,11.01 
RC-402,CONTACTOR 2X40X220V,RGC,UN,1,BL1,9.32,9.32 
RVPT-1,VALVULA PINCHA TUBO 1/4 A 3/8,LIBERTY,UN,2,BL1,4.07,8.14 
RA-603,CONTACTOR 3X60X24,TRADE PRO,UN,1,BL1,40.88,40.88 
XA.YY.561,BOMBA DE AGUA DE LAVADORA ,N/A,UN,2,BL1,,0.00 
N/A,PRESOSTATO PARA HIDRONEUMATICO,GRIVEN,UN,1,BL1,,0.00 
RVS-1,VALVULA DE SERVICIO,ANETO,UN,9,BL1,0.82,7.38 
RFS-10,FILTRO SOLDABLE 1/4 10G,ANETO,UN,9,BL1,1.86,16.74 
RFS-15,FILTRO SOLDABLE 1/4 15G,ANETO,UN,17,BL1,2.6,44.20 
RFS-25,FILTRO SOLDABLE 1/4 25G,ANETO,UN,6,BL1,2.49,14.94 
RFS-3,FILTRO DE 3 SALIDAS SOLDABLE,ANETO,UN,2,BL1,0.76,1.52 
RTEP-1,TEIPE COBRA COLORES,COBRA,UN,41,3,1.2,49.20 
RLVD-6,RELOJ PARA LAVADORA DOBLE O MULTIPLE,ROTEC,UN,2,3,5.27,10.54 
RLVD-5,RELOJ PARA LAVADORA 3 CABLES,PRECISION,UN,1,3,5.56,5.56 
TIM-6INC,RELOJ PARA LAVADORA 6 CABLES BASE CURVA,ROTEC,UN,1,3,4.01,4.01 
OOOTIM-6,RELOJ PARA LAVADORA 6 CABLES BASE NORMAL,ROTEC,UN,1,3,4.01,4.01 
TIM-5PU,RELOJ PARA LAVADORA 5 CABLES CON PUENTE,ROTEC,UN,1,3,4.01,4.01 
RLVD-2,RELOJ PARA LAVADORA 7 CABLES BASE CURVA,ROTEC,UN,1,3,4.01,4.01 
R-CARB-1,CARBONES PARA LICUADORA TIPO OSTER,A.R. COMPONENTS,UN,3,3,1.75,5.25 
RLVD-4,RELOJ DE SECADORA 2 CABLES,ROTEC,UN,2,3,1.66,3.32 
DIELE-01,DIELECTRICO 1L ,ANETO,UN,3,6,6.71,20.13 
N/A,LIMPIADOR DE AACC,COVO,UN,2,6,3.53,7.06 
N/A,ELIMINADOR DE HUMEDAD Y GRASA,FLOW,UN,1,6,2,2.00 
N/A,COMPRESOR OIL R134A PARA COMPRESORES DE NEVERA,RBV,UN,1,6,2,2.00 
N/A,H-S PARA COMPRESORES HERMETICOS Y SEMI HERMETICOS,RBV,UN,2,6,2,4.00 
N/A,LIMPIADOR DE CONTACTO,COVO,UN,2,6,2.4,4.80 
N/A,PASTA PARA SOLDAR FLUX-4,EVERWELL,UN,1,6,2,2.00 
RMDA-1,MANGUERA PARA DESAGUE,A.R. COMPONENTS,UN,1,6,2.94,2.94 
R-MLT-1,"MANGUERA PARA DESAGUE 20,5CM",A.R. COMPONENTS,UN,1,6,3.37,3.37 
RT-1,TERMOSTATO SENSOR MINI SPLIT 9 A 10 OMNIOS,A.R. COMPONENTS,UN,9,3,1.19,10.71 
RT-2,TERMOSTATO SENSOR MINI SPLIT 5 A 8 OMNIOS,A.R. COMPONENTS,UN,3,3,1.12,3.36 
RT-3,TERMOSTATO SENSOR MINI SPLIT 13 A 15 OMNIOS,A.R. COMPONENTS,UN,5,3,1.77,8.85 
RP-250,PRESOSTATO DE CABLE TIPO CHUPON DE ALTA R22,A.R. COMPONENTS,UN,1,3,8.18,8.18 
RR-068,RETARDADOR DE AACC GRADUABLE DE 1 A 10 MIN,A.R. COMPONENTS,UN,2,3,5.45,10.90 
STARJ-0235,TARJETA PARA MINI SPLIT UNIVERSAL,ANETO,UN,1,3,17,17.00 
N/A,TARJETA PARA MINI SPLIT 24000 BTU,N/A,UN,3,3,15,45.00 
R-PTAU-1,PROTECTOR DE NEVERA 110V CABLE A CABLE,A.R. COMPONENTS,UN,1,3,20.61,20.61 
R-ESTÑ-1,SOLDADURA DE ESTAÑO 145MT,A.R. COMPONENTS,UN,1,3,0.5,0.50 
N/A,SOLDADURA DE ESTAÑO 100G 1MM,DIESEL TOOLS,UN,2,3,2.12,4.24 
RVD-1,VOLTIAMPERIMETRO DIGITAL,A.R. COMPONENTS,UN,1,3,16.05,16.05 
RCR-2,CONTROL REMOTO UNIVERSAL PARA AACC,A.R. COMPONENTS,UN,1,6,5.95,5.95 
K-1028E,CONTROL REMOTO UNIVERSAL ,NVTC,UN,4,6,3.2,12.80 
R-ASB-1,ASPA PARA BOMBA 1/2 HP,A.R. COMPONENTS,UN,2,6,0.84,1.68 
RPS-1,PICO DE SOLDAR FIJO,EVERWELL,UN,1,6,25.96,25.96 
BA-2,"BIMETALICO ASIATICO 3 CABLES ROJO, NARANJA Y MARRON",A.R. COMPONENTS,UN,3,6,2.66,7.98 
RBK-45,BIMETALICO PARA NEVERAS KOREANAS L-45,MAXWELL,UN,3,6,2.86,8.58 
RBK-50,BIMETALICO PARA NEVERAS KOREANAS L-50,ANETO,UN,2,6,2.86,5.72 
RBK-55,BIMETALICO PARA NEVERAS KOREANAS L-55,MAXWELL,UN,1,6,2.86,2.86 
RBK-60,BIMETALICO PARA NEVERAS KOREANAS L-60,A.R. COMPONENTS,UN,3,6,2.86,8.58 
RBK-70,BIMETALICO PARA NEVERAS KOREANAS L-70,A.R. COMPONENTS,UN,3,6,2.86,8.58 
RAMF-3,ARMAFLEX 5/8 X 3/8,HUAMEIFLEX,UN,6,NA,1.77,10.62 
RRA-10,RESISTENCIA DE VIDRIO H-10,A.R. COMPONENTS,UN,2,NA,2.47,4.94 
RRA-16,RESISTENCIA DE VIDRIO H-16,A.R. COMPONENTS,UN,1,NA,3.1,3.10 
RR-261,RESISTENCIA DESCONGELACION HC-261,A.R. COMPONENTS,UN,1,NA,7.98,7.98 
RR-263,RESISTENCIA DESCONGELACION HC-263,A.R. COMPONENTS,UN,2,NA,8.48,16.96 
RR-264,RESISTENCIA DESCONGELACION HC-264,A.R. COMPONENTS,UN,1,NA,8.48,8.48 
N/A,GAS R404,FREEZE,UN,10,NA,146.92,1469.20 
N/A,RELE UNIVERSAL,N/A,UN,7,6,1.42,9.94 
A-648E,CORREA LAVADORA 648E,A.R. COMPONENTS,UN,1,BL2,1.28,1.28 
M-33E,CORREA LAVADORA 33E,A.R. COMPONENTS,UN,1,BL2,1.28,1.28 
RCLV-700E,CORREA LAVADORA 700E,A.R. COMPONENTS,UN,2,BL2,1.28,2.56 
M-30.5,"CORREA LAVADORA 30,5E",A.R. COMPONENTS,UN,1,BL2,1.3,1.30 
RCLV-20.5E,"CORREA LAVADORA 20,5E",A.R. COMPONENTS,UN,2,BL2,1.32,2.64 
R-CLV-19E,CORREA LAVADORA 19E,A.R. COMPONENTS,UN,3,BL2,1.28,3.84 
A-745,CORREA LAVADORA 748E,A.R. COMPONENTS,UN,3,BL2,1.28,3.84 
M-29E,CORREA LAVADORA 29E,A.R. COMPONENTS,UN,3,BL2,1.28,3.84 
M-22E,CORREA LAVADORA 22E,A.R. COMPONENTS,UN,1,BL2,1.28,1.28 
RCLV-23E,CORREA LAVADORA 23E,A.R. COMPONENTS,UN,1,BL2,1.17,1.17 
M-27,CORREA LAVADORA 27E,A.R. COMPONENTS,UN,1,BL2,1.38,1.38 
M-32E,CORREA LAVADORA 32E,A.R. COMPONENTS,UN,2,BL2,1.28,2.56 
R-CLV-0-480,CORREA LAVADORA 480E,A.R. COMPONENTS,UN,1,BL2,1.21,1.21 
M-21E,CORREA LAVADORA 21E,A.R. COMPONENTS,UN,1,BL2,1.28,1.28 
M-25,CORREA LAVADORA 25E,A.R. COMPONENTS,UN,1,BL2,1.32,1.32 
A-680,CORREA LAVADORA 680E,A.R. COMPONENTS,UN,2,BL2,1.28,2.56 
A-670E,CORREA LAVADORA 670E,A.R. COMPONENTS,UN,2,BL2,1.28,2.56 
A-690E,CORREA LAVADORA 690E,A.R. COMPONENTS,UN,2,BL2,1.28,2.56 
R-CSC-2-113CM,CORREA SECADORA113E,A.R. COMPONENTS,UN,2,BL2,9.32,18.64 
R-CSC-2-110CM,CORREA SECADORA 110E,A.R. COMPONENTS,UN,1,BL2,9.32,9.32 
R-CLV-2026,CORREA LAVADORA 2026E,A.R. COMPONENTS,UN,1,BL2,1.77,1.77 
R-CLV-30E,CORREA LAVADORA 30E,A.R. COMPONENTS,UN,1,BL2,1.86,1.86 
R-EMOP-1,JUNTA DE SILICON OLLA DE PRESION TIPO EKCO Y ZENIT,A.R. COMPONENTS,UN,1,BL2,4.54,4.54 
RBOY-4,BOYA PARA LAVADORA ,A.R. COMPONENTS,UN,3,BL2,1.86,5.58 
R-CLOS-1,CUCHILLA OSTER,ROTEC,UN,2,BL2,5.09,10.18 
,TAPA LIC OSTER,,,2,BL2,3.42,6.84 
R-VLOT-P,VASO VIDRIO LICUADORA OSTER,OSTER,NA,1,,9.88,9.88 
,VASO LICUADORA PHILLIP,PHILLIP,UN,1,,7.2,7.20 
,VASO PLASTICO LIC ROSANT,ROSANT,UN,1,,7.2,7.20 
R-RLOT-1,ROSCA PARA VASO LIC OSTER,OSTER,UN,4,BL2,2.18,8.72 
POL-DA,POLEA PARA LAVADORA DAKA,ROTEC,UN,1,BL2,2.05,2.05 
POL-LG,POLEA PARA LAVADORA LG,ROTEC,UN,1,BL2,2.05,2.05 
RHORN-1,HORNILLA ESPIRAL COCINA ELECTRICA,,UN,2,BL2,4.26,8.52 
RC-LSM-1,CUCHILLA LIC MOD SAMURAI,SAMURAI,UN,1,BL2,4.82,4.82 
,EMPACADURAS DE CAFETERAS VARIAS,,UN,6,BL2,0.85,5.10 
RK-LOS-1,ACOPLE CUCHILLA PREMIER,PREMIER,UN,1,BL2,0.36,0.36 
,ASPA DE MICROMOTOR DE NEVERA,,UN,2,BL2,4.86,9.72 
M-317,MICROMOTOR DE SPLIT RPG28H,,UN,1,,10.21,10.21 
,MICROMOTOR CON ASPA DE NEVERA 3 PUERTAS,,UN,1,,12.46,12.46 
,ASPA DE VENTILADOR,,UN,4,3,3.67,14.68 
,SELLO TAPA LICUDORA OSTER,OSTER,UN,1,,0.74,0.74 
,ROSCA PARA VASOS DE LICUADORAS MULTIPLES,,UN,4,BL2,1.2,4.80 
RTMS-3,DISPLAY DE TARJETA PARA AIRE ACONDICIONADO,,UN,8,10,3.55,28.40 
,QUEMADORES DE COCINA MABE,,UN,20,10,4.2,84.00 
,REJILLA DE LAVAPLATO,,UN,2,10,2.1,4.20 
,PERILLA DE LAVADORA,,UN,2,10,0.36,0.72 
,PERILLAS NEGRAS,,UN,2,10,0.2,0.40 
,TIRRAP 4.6MM X 350MM,IG TUNING,UN,97,10,3,291.00 
,ABRAZADERA 1/2 8-12MM,Q7,UN,34,10,4,136.00 
,ABRAZADERA 3/4 13-19MM,Q7,UN,33,10,4,132.00 
,ABRAZADERA 1 16-25MM,Q7,UN,43,10,4,172.00 
,INTERRUPTORES DE PLASTICOS,,UN,18,10,0.2,3.60 
,GOMA PARA MANGUERAS HG-6 HOSE GASKET,EVERWELL,UN,2,10,2.2,4.40 
,ACOPLE BUJE LAVADORA,,UN,3,10,2.4,7.20 
,O RING CAJA TRANSPARENTE ,Q7,UN,1,10,3,3.00 
,O RING CAJA ROJA ,,UN,1,10,3,3.00 
,TERMOENCOGIBLES,,UN,1,BL4,3,3.00 
,VARILLAS DE SOLDAR 0% PLATA,,UN,36,10,0.63,22.68 
,VARILLA BRONCE,,UN,38,10,0.93,35.34 
,SILICON MEGAGREY,,UN,7,BL3,1.2,8.40 
,SILICON SHIMATAKA,,UN,6,BL3,1.2,7.20 
,PEGALOKA,Q7,UN,7,BL3,0.23,1.61 
,PEGALOKA,REAL GLUE,UN,3,BL3,0.23,0.69 
RTC-36,TUBO CAPILAR 0.036X0.087X100,A.R. COMPONENTS,UN,1,BL3,22.46,22.46 
RTC-31,TUBO CAPILAR 0.031X0.083X100,A.R. COMPONENTS,UN,1,BL3,14.11,14.11 
RTC-26,TUBO CAPILAR 0.026X0.07X100,A.R. COMPONENTS,UN,1,BL3,25.09,25.09 
,ROLINERA 6322,KOYO,UN,6,11,,0.00 
,ROLINERA 6322,AUTOASIA,UN,2,11,,0.00 
,ROLINERA 6328,KOYO,UN,2,11,,0.00 
,ROLINERA 6308 2RS,BTB,UN,1,11,,0.00 
,ROLINERA 6309 ZZ Z3,TOPROL,UN,3,11,,0.00 
,ROLINERA 6307 2RS,LVJ,UN,2,11,,0.00 
,ROLINERA 6306 ZZ,TOPROL,UN,3,11,,0.00 
,ROLINERA 6305 ZZ,TOPROL,UN,3,11,,0.00 
,ROLINERA 6305 ZZ,ISK,UN,2,11,,0.00 
