Codigo,Producto,Marca,UN,Cant,Caja,Costo Unit,Total
,PESO 100KG,,UN,1,BL4,12,12.00 
,MANGUERA DE GAS,,UN,2,BL4,2,4.00 
,LLAVE DE GAS AZUL Y ROJA,,UN,2,BL4,1.5,3.00 
,ACOPLE PLASTICO NEGROS Y GRIS DE LICUADORA,,UN,17,BL4,0.32,5.44 
R-COND-15,PARRILLA DE NEVERA,,UN,2,,16.87,33.74 
RCVD-1,JUEGO DE CABLES PARA VOLTI AMPERIMETRO,A.R. COMPONENTS,UN,1,BL4,2.55,2.55 
R-PTRM-1,PROTECTORES PARA RELOJES DE MANOMETROS,A.R. COMPONENTS,UN,1,BL4,1.43,1.43 
,SOLDADURA EN FRIO,SQUBA GUM,UN,6,12,1,6.00 
,SOLDADURA EN FRIO PEGA TANKE,PEGATAMKE,UN,7,12,1,7.00 
RC-58,CORTA TUBO,ANETO,UN,1,,3.24,3.24 
,KIT DE ACOPLE OSTER,LACASADELACUCHILLA,UN,1,,0.4,0.40 
,PIN LICUADORA,,UN,12,,2.64,31.68 
,PLATILLO ACOPLE LICUADORA OSTER,,UN,3,,0.89,2.67 
,TORNILLOS DECORATIVOS ,,PAR,2,,0.3,0.60 
,TUBO 3/8,,UN,1,,7,7.00 
,TUBO 1/4,,UN,1,,5,5.00 
ACEITES,,,,,,,
,ACEITE TC-W3 FUERA DE BORDA,BRAVA,UN,25,9,6,150.00 
,ACEITE 85W140 TOP GEAR EP,LUBRICO,UN,1,9,6,6.00 
,ACEITE TC-W3 2T TITAN MOTO,LUBRICO,UN,1,9,6,6.00 
,ACEITE SAE 20W-50 SL MULTIGRADO,MAXILUB,UN,1,9,7,7.00 
,ACEITE SAE 20W-50 SL MINERAL,AMAZONIA,UN,1,12,7,7.00 
,ACEITE DEXRON III H TRANSMISION AUTOMATICA,AMAZONIA,UN,1,12,6,6.00 
,ACEITE TC-W3 2T,ULTRA OIL,UN,4,12,4,16.00 
,ACEITE SAE 20W50 SL,RHINO,,4,12,4,16.00 
,ACITE 2T,ULTRA MOTOS,,11,12,5.5,60.50 
,ACEITE 85W140 PREMIUM MULTI-PURPOSE,MOBIL,,3,12,6,18.00 
,ULTRA FLUSHING LIMPIEZA INTERNA DEL MOTOR,ULTRALUB,,2,12,2,4.00 
,,,,,,,5075.01 
